1. Wat was je score op de GapMinder test? Je hoeft je niet te schamen als het slecht was :-). De meeste mensen score vrij slecht.  Noteer de score hieronder als een breuk.,2. Met welke hand schrijf je?,3. Wat is je schoenmaat?,4. Wat is je lichaamslengte (in cm)?,5. Wat is je bloedgroep: AB0?,6. Wat is de resusfactor van je bloedgroep?,7. Hoeveel broers / zussen heb je?,8. Vink alle beweringen aan die volgens aannemelijk zijn.,9. Welke rijbewijzen heb je al volledig behaald?,10. Mijn domicilieadres ligt,11. Welke afstudeerrichting denk je te kiezen?,12. Wat is je favoriete vrijetijdsbesteding?,13. Hoeveel uren wiskunde had je in het laatste jaar middelbaar?,14. Hoe belangrijk is het voor je om informaticus te worden?,15. Hoeveel uur werk je gemiddelde per week voor school buiten de schooluren? Noteer als HH:mm (en wees eerlijk),16. Wat is de afstand van thuis / kot naar de KdG campus Groenplaats (in km)?,17. Hoe kom je naar school?,18. In 2012 bedroeg de opwarming van de aarde 0.85°C t.o.v. het jaar 1880. In 2020 bedroeg het reeds 0.98°C. Wanneer zal de aarde volgens jou meer dan 1.5°C opgewarmd zijn door de klimaatopwarming?,19.  Hoeveel zakgeld krijg je of verdien je zelf per maand?,20a. Hoeveel stukken / porties fruit eet je gemiddeld per dag?,21. Welk besturingssysteem gebruik je het liefst?,"22. Stel dat je maar één app op je smartphone mocht zetten, welke zou je dan kiezen",23a. In hoeverre vind je het belangrijk om het welzijn van anderen te beschermen en te verzorgen?,23b. In hoeverre geloof je dat het belangrijk is om middelen gelijk en eerlijk te verdelen?,"23c. In hoeverre vind je het belangrijk om loyaal te zijn aan je familie, vrienden of je land?",23d. In hoeverre vind je het belangrijk om gezag te respecteren en gevestigde regels en normen te volgen?,23e. In hoeverre geloof je dat het belangrijk is om zuiverheid te handhaven en gedrag of handelingen te vermijden die als vulgair of immoreel worden ervaren?,23f. In hoeverre vind je het belangrijk dat individuen vrijheid van keuze en expressie hebben zonder inmenging van anderen?,24. Wat is volgens jou het zwaarste vak uit het eerste jaar?,25. Welke vak uit het eerste jaar TI vind je het boeiendst?,"26. In het hoger onderwijs wordt 1 studiepunt gelijkgesteld aan 25 uren studiebelasting.  
Wat is jouw inschatting?	",27. Ik geef toestemming om deze gegevens geanonimiseerd te gebruiken binnen de lessen Data Science van de opleiding Toegepaste Informatica op KdG.
5/18,Rechts,39,174,Weet ik niet,Weet ik niet,0,Geen enkele bewering is aannemelijk,Categorie D: Bussen.,in een stad,Applicatieontwikkeling,Andere,5,Extreem,10:00,30,Met de trein;Met de tram;Met de bus,2120-01-01,0,1,Linux,Muziek App,4,4,4,5,5,5,Management 1,Programmeren 1 - Embedded,25,Ja
6/13,Rechts,45,195,A,Positief,1,"De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite",Categorie D: Bussen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Andere,8,Groot,02:00,11,Met de fiets,2050-01-01,506,0,Linux,Sociaal Netwerk App,2,3,4,4,4,4,Communicatie 1,Computersystemen 1,15,Ja
11/13,Rechts,47.5,195,O,Positief,0,"Prinses Diana kwam niet per ongeluk om het leven;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De wereld wordt eigenlijk gecontroleerd door een geheime elite",Categorie G: Landbouwvoertuigen.,in een stad,Artificial Intelligence,Gamen,6,Niet,11:00,5.6,Met de fiets,2050-02-09,50,0,Linux,Sociaal Netwerk App,4,4,4,4,2,4,Software engineering 1,Management 1,20,Ja
8/10,Rechts,42,175,Weet ik niet,Weet ik niet,4,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite;Vaccinaties kunnen autisme veroorzaken,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Internet/Social Media,3,Groot,06:30,5,Met de trein;Met de tram,2030-12-30,300,2,Windows,Sociaal Netwerk App,4,5,3,5,3,4,Computersystemen 1,User interfaces 1,25,Ja
4/18,Rechts,38,160,Weet ik niet,Weet ik niet,3,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt;Vaccinaties kunnen autisme veroorzaken;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment",Categorie B: Wagens.,in een stad,Software Management,Shoppen,3,Groot,15:00,4.5,Met de tram,2030-01-01,400,1,Windows,Sociaal Netwerk App,5,4,5,3,5,5,Programmeren 1 - Java,Management 1,15,Ja
9/18,Rechts,42,188,Weet ik niet,Weet ik niet,2,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA,Categorie B: Wagens.,in een stad,Artificial Intelligence,Sport (beoefenen/supporteren),8,Matig,16:00,5,Met de fiets,2040-01-01,250,1,Windows,Bank App,3,4,4,4,5,4,Computersystemen 1,Programmeren 1 - Java,20,Ja
6/10,Rechts,43,199,Weet ik niet,Weet ik niet,1,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie B: Wagens.,in een stad,Systeem en netwerkbeheer,Sport (beoefenen/supporteren),4,Zeer Groot,00:45,6.9,Te voet;Met de fiets;Met de tram;Met de bus;Met de auto,2032-05-27,0,10,Windows,Sociaal Netwerk App,5,5,5,5,4,5,Software engineering 1,Computersystemen 1,2,Ja
10/18,Rechts,46,187,B,Positief,1,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),6,Groot,08:20,1,Te voet,2055-01-01,350,1,Windows,Muziek App,4,3,4,4,4,3,Databanken 1,Programmeren 1 - Embedded,20,Ja
3/18,Rechts,43,179,O,Positief,2,De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),6,Zeer Groot,23:00,1.4,Met de fiets,2028-01-10,100,2,Windows,Muziek App,3,4,5,3,2,5,Netwerken 1,Programmeren 1 - Java,22,Ja
6/13,Rechts,40,177,A,Positief,1,Prinses Diana kwam niet per ongeluk om het leven,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Film/TV-series,3,Groot,01:15,13,Met de fiets;Met de tram;Met de bus,2027-10-31,355,0,Windows,GPS App,4,3,5,3,5,5,Netwerken 1,Databanken 1,17,Ja
9/18,Rechts,36,159,Weet ik niet,Weet ik niet,3,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Film/TV-series,4,Groot,10:00,15,Met de fiets,2050-01-01,0,1,Windows,Sociaal Netwerk App,3,3,5,4,4,4,Software engineering 1,Netwerken 1,15,Ja
8/15,Rechts,47,194,Weet ik niet,Weet ik niet,1,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Andere,4,Matig,03:00,7,Met de fiets,2050-01-01,100,1,Windows,Bank App,4,3,4,4,4,5,Netwerken 1,User interfaces 1,20,Ja
3/18,Rechts,42,168,Weet ik niet,Weet ik niet,6,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,in een stad,Systeem en netwerkbeheer,Gamen,2,Extreem,08:00,6,Met de fiets;Met de tram;Met de bus,2050-01-10,370,0,Windows,Sociaal Netwerk App,4,5,4,5,3,4,Programmeren 1 - Java,Computersystemen 1,20,Ja
10/10,Rechts,47,180,O,Weet ik niet,2,"Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;Vaccinaties kunnen autisme veroorzaken;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment",Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Sport (beoefenen/supporteren),4,Matig,00:10,50,Met de fiets;Met de trein,2073-01-01,40,2,Windows,Muziek App,2,4,4,1,2,5,Software engineering 1,Programmeren 1 - Java,20,Ja
13/18,Rechts,44,171,Weet ik niet,Weet ik niet,5,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd,Categorie G: Landbouwvoertuigen.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Andere,2,Groot,03:00,19.1,Met de tram;Met de bus,2050-01-01,50,1,Windows,Openbaar vervoer App,5,4,5,5,5,5,Software engineering 1,Programmeren 1 - Java,30,Ja
3/18,Rechts,44,187,Weet ik niet,Weet ik niet,2,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Muziek (bespelen/luisteren),2,Zeer Groot,06:00,19,Met de trein,2065-01-10,100,1,Windows,GPS App,3,3,4,5,4,3,Management 1,Programmeren 1 - Java,20,Ja
5/13,Rechts,42.5,179,O,Positief,5,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Muziek (bespelen/luisteren),6,Matig,02:00,1,Te voet;Met de fiets;Met de trein;Met de tram;Met de bus,2050-11-30,380,2,Linux,Muziek App,4,4,5,2,3,5,Management 1,Computersystemen 1,10,Ja
5/18,Rechts,39,162,O,Positief,1,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;John F. Kennedy werd vermoord in opdracht van de CIA,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Sport (beoefenen/supporteren),6,Groot,10:00,6,Met de fiets;Met de tram;Met de bus,2055-01-01,200,1,Windows,Sociaal Netwerk App,4,4,4,4,3,4,Netwerken 1,User interfaces 1,25,Ja
9/18,Rechts,45,185,A,Positief,0,Prinses Diana kwam niet per ongeluk om het leven,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Film/TV-series,5,Groot,10:30,27.2,Met de trein;Met de tram,2050-01-01,200,2,Windows,Muziek App,3,4,5,4,3,4,Netwerken 1,User interfaces 1,25,Ja
5/18,Rechts,38,166,A,Positief,3,Prinses Diana kwam niet per ongeluk om het leven;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Internet/Social Media,6,Matig,00:00,4,Te voet;Met de tram;Met de bus,2073-01-01,100,4,Windows,Sociaal Netwerk App,5,5,5,3,5,5,Management 1,User interfaces 1,20,Ja
7/13,Rechts,45,184,O,Negatief,2,Geen enkele bewering is aannemelijk,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Jeugdbeweging,6,Zeer Groot,02:00,1.3,Te voet;Met de fiets;Met de trein;Met de tram,2050-01-01,120,1,Windows,Sociaal Netwerk App,4,5,5,4,4,5,Programmeren 1 - Embedded,Computersystemen 1,10,Ja
7/18,Rechts,46,193,O,Positief,1,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;De maanlanding is in scène gezet om de Russen te slim af te zijn;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite",Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Gamen,5,Groot,15:00,1.5,Te voet,2025-06-10,500,0,Windows,Muziek App,4,3,5,2,4,3,Programmeren 1 - Java,User interfaces 1,25,Ja
10/18,Rechts,43,172,Weet ik niet,Weet ik niet,3,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Muziek (bespelen/luisteren),5,Matig,03:00,43,Met de bus,2023-02-11,0,2,Windows,Muziek App,4,4,4,4,4,4,Databanken 1,Programmeren 1 - Java,20,Ja
11/13,Rechts,41,165,AB,Positief,10,Prinses Diana kwam niet per ongeluk om het leven,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie A: Motorfietsen.;Categorie B: Wagens.;Categorie C: Vrachtwagens.;Categorie D: Bussen.;Categorie G: Landbouwvoertuigen.,in een stad,Systeem en netwerkbeheer,Internet/Social Media,7,Groot,15:00,10,Met de tram,2073-01-01,0,1,Windows,Sociaal Netwerk App,5,5,4,4,4,4,Netwerken 1,Computersystemen 1,21,Ja
5/18,Rechts,45,180,Weet ik niet,Weet ik niet,1,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Sport (beoefenen/supporteren),3,Groot,02:00,36.5,Met de fiets;Met de trein;Met de tram,2040-02-10,100,1,Windows,Muziek App,5,5,4,3,4,2,Programmeren 1 - Java,Computersystemen 1,25,Ja
5/18,Rechts,42,173,A,Negatief,2,Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,5,Groot,02:00,42,Met de fiets;Met de trein;Met de tram,2030-06-05,200,0,Windows,Bank App,3,5,4,3,2,4,Computersystemen 1,Programmeren 1 - Java,20,Ja
12/18,Links,42,183,A,Negatief,1,Prinses Diana kwam niet per ongeluk om het leven,Categorie B: Wagens.,in een stad,Artificial Intelligence,Sport (beoefenen/supporteren),4,Zeer Groot,12:00,10,Met de tram;Met de bus,2030-11-09,60,1,iOS,Muziek App,3,3,3,3,3,3,Software engineering 1,User interfaces 1,20,Ja
10/13,Beide,50,200,Weet ik niet,Weet ik niet,10,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;In 1947 is er in Roswell, New Mexico, een UFO neergestort in de woestijn.;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt;Vaccinaties kunnen autisme veroorzaken;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment",Categorie B: Wagens.;Categorie G: Landbouwvoertuigen.,in een stad,Artificial Intelligence,Gamen,5,Extreem,00:05,100,Te voet,2013-02-28,0.5,0,Andere,Bank App,3,3,3,3,3,3,Data science 1,Netwerken 1,1,Ja
5/09,Rechts,46,192,A,Positief,1,De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;Vaccinaties kunnen autisme veroorzaken,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Applicatieontwikkeling,Gamen,8,Zeer Groot,05:30,10,Met de fiets;Met de trein,2031-01-10,20,0,Windows,Agenda App,4,4,5,4,2,3,Management 1,Databanken 1,20,Ja
5/18,Rechts,43,186,Weet ik niet,Weet ik niet,1,Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;De eerste corona-uitbraken gebeuren in de buurt van 5G zendmasten;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Gamen,5,Zeer Groot,10:00,40,Met de trein;Met de auto,2060-01-01,750,1,Windows,Sociaal Netwerk App,3,2,4,4,3,3,Programmeren 1 - Java,Netwerken 1,15,Ja
03/09,Rechts,46,190,B,Negatief,1,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;John F. Kennedy werd vermoord in opdracht van de CIA;De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Sport (beoefenen/supporteren),4,Matig,05:00,32,Met de trein,2073-01-01,60,2,Windows,Muziek App,3,3,3,3,3,3,Communicatie 1,Management 1,19,Ja
9/13,Links,42,186,B,Positief,2,"De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;De maanlanding is in scène gezet om de Russen te slim af te zijn;John F. Kennedy werd vermoord in opdracht van de CIA;De Holocaust heeft wel plaats gehad, maar was veel minder erg dan de geschiedenisboeken ons vertellen;De wereld wordt eigenlijk gecontroleerd door een geheime elite;AIDS werd in labo gemaakt",Categorie B: Wagens.,in een stad,Software Management,Andere,3,Weinig,04:00,8,Met de fiets,2067-06-03,250,0,iOS,Sociaal Netwerk App,2,4,5,3,3,4,Computersystemen 1,User interfaces 1,25,Ja
8/09,Rechts,44.5,189,A,Negatief,1,De wereld wordt eigenlijk gecontroleerd door een geheime elite,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Artificial Intelligence,Sport (beoefenen/supporteren),3,Zeer Groot,10:00,10,Andere,2024-09-11,120,1,Windows,Sociaal Netwerk App,5,2,5,3,4,5,Geen enkel,Programmeren 1 - Java,15,Ja
03/09,Rechts,45.5,193,Weet ik niet,Weet ik niet,1,Prinses Diana kwam niet per ongeluk om het leven;De maanlanding is in scène gezet om de Russen te slim af te zijn;AIDS werd in labo gemaakt,Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),4,Groot,05:00,18,Met de fiets;Met de trein,2072-12-31,75,2,Windows,Muziek App,4,3,5,4,4,4,Netwerken 1,Programmeren 1 - Java,20,Ja
4/09,Rechts,39,170,A,Positief,0,Geen enkele bewering is aannemelijk,Categorie B: Wagens.,"buiten de stad (een dorp, een gehucht, het platteland, ...)",Systeem en netwerkbeheer,Sport (beoefenen/supporteren),6,Weinig,05:00,27,Met de fiets;Met de trein,2024-05-10,1000,2,Windows,Sociaal Netwerk App,5,4,4,3,4,4,Programmeren 1 - Java,User interfaces 1,20,Ja
6/06,Rechts,42,181,Weet ik niet,Positief,3,De aanslagen van 9/11 in NY werden niet door terroristen gepleegd;Prinses Diana kwam niet per ongeluk om het leven;John F. Kennedy werd vermoord in opdracht van de CIA;De uitlaatgassen van vliegtuigen bevatten chemicaliën die gebruikt worden om het weer te beïnvloeden;De wereld wordt eigenlijk gecontroleerd door een geheime elite;De tsunami van 2004 in de Indische Oceaan was het gevolg van een nucleair experiment,Categorie AM: Bromfietsen met een maximumsnelheid tussen 25 en 45 km/u.;Categorie B: Wagens.,in een stad,Applicatieontwikkeling,Sport (beoefenen/supporteren),6,Groot,22:00,5,Met de tram;Met de auto,2110-01-09,1650,2,iOS,Sociaal Netwerk App,4,5,5,5,5,3,Programmeren 1 - Java,User interfaces 1,35,Ja
